Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
3133,2,ALIAS,E,100,PL,,E 100 PL,,1,1124,10032,S
3132,3,ALIAS,E,100,DR,,E 100 DR,,3800,3842,10000,S
3134,3,ALIAS,E,100,ST,,E 100 ST,,1,4001,10000,S
3816,3,HONORARY,E,JAMES FITZGIBBONS,DR,,E JAMES FITZGIBBONS DR,,3600,3635,10000,S
3135,4,ALIAS,E,101,PL,,E 101 PL,,1,699,10132,S
3136,5,ALIAS,E,101,ST,,E 101 ST,,1,3699,10100,S
3137,6,ALIAS,E,102,PL,,E 102 PL,,1,699,10232,S
3138,7,ALIAS,E,102,ST,,E 102 ST,,2,3898,10200,S
3140,8,ALIAS,E,103,PL,,E 103 PL,,1,799,10332,S
3141,9,ALIAS,E,103,ST,,E 103 ST,,1,3825,10300,S
3793,9,HONORARY,E,ARLENE L. LEE COURT,ST,,E ARLENE L. LEE COURT ST,,300,330,10300,S
3142,10,ALIAS,E,104,PL,,E 104 PL,,100,799,10432,S
3143,11,ALIAS,E,104,ST,,E 104 ST,,1,3925,10400,S
3144,12,ALIAS,E,105,PL,,E 105 PL,,532,799,10532,S
2702,13,911,E,REV BERNARD SCHEID,WAY,,E REV BERNARD SCHEID WAY,,2634,2700
3145,13,ALIAS,E,105,ST,,E 105 ST,,1,3999,10500,S
3146,14,ALIAS,E,106,ST,,E 106 ST,,200,4099,10600,S
3147,15,ALIAS,E,107,ST,,E 107 ST,,1,4099,10700,S
3832,15,HONORARY,E,"PASTOR HEBER""BOBBY""WILBON",DR,,"E PASTOR HEBER""BOBBY""WILBON DR",,100,127,10700,S
3148,16,ALIAS,E,108,ST,,E 108 ST,,1,4099,10800,S
3149,17,ALIAS,E,109,ST,,E 109 ST,,1,4099,10900,S
3152,18,ALIAS,E,110,PL,,E 110 PL,,1,499,11032,S
3153,19,ALIAS,E,110,ST,,E 110 ST,,1,4099,11000,S
3842,19,HONORARY,E,REV LAWRENCE W STAUSS,DR,,E REV LAWRENCE W STAUSS DR,,3400,3425,11000,S
3154,20,ALIAS,E,111,PL,,E 111 PL,,1,599,11132,S
2703,21,911,E,REV E R STATEN,ST,,E REV E R STATEN ST,,100,134
2719,21,911,,FLORENCE,BLVD,,FLORENCE BLVD,,526,600
3155,21,ALIAS,E,111,ST,,E 111 ST,,1,4099,11100,S
3810,21,HONORARY,E,FLORENCE,BLVD,,E FLORENCE BLVD,,531,599,11100,S
3156,22,ALIAS,E,112,PL,,E 112 PL,,1,99,11232,S
3157,23,ALIAS,E,112,ST,,E 112 ST,,0,4099,11200,S
3158,24,ALIAS,E,113,PL,,E 113 PL,,1,99,11332,S
3805,24,HONORARY,E,DR SAMUEL A FLUKER,DR,,E DR SAMUEL A FLUKER DR,,1,59,11332,S
2925,25,911,,REV D T DUNSON,ST,,REV D T DUNSON ST,,100,200
3159,25,ALIAS,E,113,ST,,E 113 ST,,1,3799,11300,S
3844,25,HONORARY,E,REV O T DUNSON,ST,,E REV O T DUNSON ST,,100,133,11300,S
3160,26,ALIAS,E,114,PL,,E 114 PL,,1,599,11432,S
3161,27,ALIAS,E,114,ST,,E 114 ST,,1,3899,11400,S
3162,28,ALIAS,E,115,ST,,E 115 ST,,1,3899,11500,S
3834,28,HONORARY,E,REV A EDWARDS DAVIS JR,ST,,E REV A EDWARDS DAVIS JR ST,,100,225,11500,S
3163,29,ALIAS,E,116,ST,,E 116 ST,,1,3899,11600,S
3164,30,ALIAS,E,117,PL,,E 117 PL,,6,199,11732,S
3165,31,ALIAS,E,117,ST,,E 117 ST,,1,3799,11700,S
3166,32,ALIAS,E,118,PL,,E 118 PL,,1,199,11832,S
3167,33,ALIAS,E,118,ST,,E 118 ST,,1,3799,11800,S
3168,34,ALIAS,E,119,PL,,E 119 PL,,1,399,11932,S
3169,35,ALIAS,E,119,ST,,E 119 ST,,1,399,11900,S
3150,36,ALIAS,E,11,PL,,E 11 PL,,100,199,1132,S
3151,37,ALIAS,E,11,ST,,E 11 ST,,1,99,1100,S
3170,38,ALIAS,E,120,PL,,E 120 PL,,1,325,12032,S
3171,39,ALIAS,E,120,ST,,E 120 ST,,1,999,12000,S
3172,40,ALIAS,E,121,PL,,E 121 PL,,1,299,12132,S
3173,41,ALIAS,E,121,ST,,E 121 ST,,1,799,12100,S
3174,42,ALIAS,E,122,PL,,E 122 PL,,1,199,12232,S
3175,43,ALIAS,E,122,ST,,E 122 ST,,1,3236,12200,S
3176,44,ALIAS,E,123,ST,,E 123 ST,,1,199,12300,S
3815,44,HONORARY,E,JAMES A RODGERS,DR,,E JAMES A RODGERS DR,,1,61,12300,S
3177,45,ALIAS,E,124,PL,,E 124 PL,,1,199,12432,S
3178,46,ALIAS,E,124,ST,,E 124 ST,,1,799,12400,S
3179,47,ALIAS,E,125,PL,,E 125 PL,,1,199,12532,S
