Street_ID,Base_Street_ID,Alias Type,Pre Dir,Street Name,Type,Suffix,FULLNAME,Tiered?,Min Address,Max Address,Chicago Coord,Chicago Coord Dir
1,0,,,,,,,,0,10099,0
2,0,,E,100TH,PL,,E 100TH PL,,1,1199,10032,S
3,0,,E,100TH,ST,,E 100TH ST,,1,4001,10000,S
4,0,,E,101ST,PL,,E 101ST PL,,1,699,10132,S
5,0,,E,101ST,ST,,E 101ST ST,,1,3699,10100,S
6,0,,E,102ND,PL,,E 102ND PL,,1,699,10232,S
7,0,,E,102ND,ST,,E 102ND ST,,1,3898,10200,S
8,0,,E,103RD,PL,,E 103RD PL,,1,799,10332,S
9,0,,E,103RD,ST,,E 103RD ST,,1,3899,10300,S
10,0,,E,104TH,PL,,E 104TH PL,,100,799,10432,S
11,0,,E,104TH,ST,,E 104TH ST,,1,3951,10400,S
12,0,,E,105TH,PL,,E 105TH PL,,532,799,10532,S
13,0,,E,105TH,ST,,E 105TH ST,,1,3999,10500,S
14,0,,E,106TH,ST,,E 106TH ST,,200,4099,10600,S
15,0,,E,107TH,ST,,E 107TH ST,,1,4099,10700,S
16,0,,E,108TH,ST,,E 108TH ST,,1,4099,10800,S
17,0,,E,109TH,ST,,E 109TH ST,,1,4099,10900,S
18,0,,E,110TH,PL,,E 110TH PL,,1,499,11032,S
19,0,,E,110TH,ST,,E 110TH ST,,1,4099,11000,S
20,0,,E,111TH,PL,,E 111TH PL,,1,599,11132,S
21,0,,E,111TH,ST,,E 111TH ST,,1,4099,11100,S
22,0,,E,112TH,PL,,E 112TH PL,,1,99,11232,S
23,0,,E,112TH,ST,,E 112TH ST,,0,4099,11200,S
24,0,,E,113TH,PL,,E 113TH PL,,1,99,11332,S
25,0,,E,113TH,ST,,E 113TH ST,,1,3799,11300,S
26,0,,E,114TH,PL,,E 114TH PL,,1,599,11432,S
27,0,,E,114TH,ST,,E 114TH ST,,1,3899,11400,S
28,0,,E,115TH,ST,,E 115TH ST,,1,3899,11500,S
29,0,,E,116TH,ST,,E 116TH ST,,1,3899,11600,S
30,0,,E,117TH,PL,,E 117TH PL,,1,199,11732,S
